Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
2002,582.44,596.48,530.46,509.13,586.29,625.69,553.10,624.76,553.70,587.65,585.48,503.01,640.04,657.82,599.48,490.56,579.75,603.44,539.73,512.93,595.30,655.50,583.17,606.78,589.86,593.14,603.54
2003,639.26,630.75,664.75,660.91,591.09,691.39,625.12,618.56,673.45,629.58,595.85,647.10,645.14,676.15,629.60,668.44,660.96,634.88,619.16,644.26,608.34,657.82,576.49,604.49,675.24,642.33,603.06
2004,692.82,711.06,692.52,672.59,653.76,753.62,685.26,675.51,709.85,705.69,650.82,665.65,705.15,716.25,705.64,665.42,725.95,715.35,677.45,660.61,682.58,713.67,642.91,666.29,729.65,711.91,663.97
2005,633.68,635.88,621.00,598.57,611.54,663.13,635.02,648.02,635.68,638.18,615.21,611.58,674.63,675.29,620.08,598.06,642.72,628.18,617.41,603.70,615.52,680.95,615.97,634.63,648.42,637.87,641.66
2006,595.87,617.78,585.03,575.80,570.15,636.35,606.10,575.63,601.48,621.63,559.26,593.15,607.09,636.05,585.71,587.44,617.38,610.66,595.00,575.73,575.89,612.51,554.56,564.25,604.35,583.81,586.09
2007,721.01,689.63,627.14,603.87,706.19,728.86,645.46,819.03,647.92,678.68,744.04,614.92,880.91,884.90,746.99,607.44,672.63,694.61,634.13,612.00,733.09,882.36,791.77,817.37,694.53,722.97,828.51
2008,710.09,681.35,708.67,682.22,636.72,773.18,644.05,724.58,721.46,663.37,660.86,648.95,779.88,779.38,761.29,676.19,709.59,699.91,633.51,653.84,694.61,776.17,709.35,727.33,756.75,762.30,741.69
2009,740.31,754.66,751.31,747.96,674.89,789.57,750.47,699.07,764.69,756.63,662.80,763.63,747.37,767.95,732.94,761.99,780.68,746.68,736.38,740.91,698.37,747.16,682.25,694.34,766.02,743.18,716.47
2010,826.30,849.87,765.44,737.27,819.78,867.95,795.20,865.93,794.01,837.18,832.84,748.71,894.55,910.68,842.02,735.54,832.50,848.81,779.54,742.91,837.60,912.81,818.49,853.06,828.54,835.20,849.01
2011,645.13,615.70,592.77,563.67,637.52,664.50,587.97,722.10,604.81,609.92,671.63,563.47,749.24,757.88,672.77,558.75,605.58,621.24,573.87,559.15,658.95,771.31,677.86,714.81,649.42,656.29,695.36
2012,813.83,813.13,771.02,736.60,775.16,858.08,757.12,841.77,790.69,797.53,787.75,742.53,899.00,897.48,855.65,737.14,814.03,824.48,742.41,732.01,818.41,899.15,830.41,842.78,829.67,845.89,862.67
2013,648.08,664.47,620.09,611.13,635.91,682.28,654.95,656.43,638.79,672.01,635.32,635.29,674.29,680.81,637.66,621.56,655.83,653.95,644.27,621.97,635.70,690.94,619.72,641.70,653.24,637.59,643.42
