Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","105.3121","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","105.9805","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","105.1459","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","106.4895","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","106.062","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","106.5675","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","106.0518","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","105.9195","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","106.5675","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","106.1536","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","107.504","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","108.2809","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","108.1045","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","108.1893","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","108.3047","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","110.5711","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","109.594","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","109.482","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","108.9392","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","109.2615","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","109.2784","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.7525","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","110.1979","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","111.019","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","111.9317","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","112.3829","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","111.1479","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","112.2981","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","111.8095","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","110.466","X","Figure from international organizations","base year is 2015"
